source_code,category_code,query_slug,record_kind,title,description_raw,buyer_country_raw,buyer_country_code,buyer_identity_claim_raw,published_at_raw,published_at,contact_gate,source_url,listing_url,verification_status,observed_at,snapshot_sha256,data_mode
ec21,MATCHA,matcha,DIRECT_BUY_REQUIREMENT,"We Buy Matcha Powder, Tea From Korea",We're searching for Matcha powder / Tea which is coming originally from Korea. - Payment conditions: 100% T/T in advance - Expected volume: depends on the offered price,Hungary,,,"4 Nov, 2024",2024-11-04,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_strong_Matcha_strong--24445944.html,https://importer.ec21.com/matcha.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:40+00:00,d9af4621dcd01c6a59eb13af09e30f90fb6525af7a5fd36dc3c3b6f5cefa2a1c,LIVE
ec21,MATCHA,matcha,DIRECT_BUY_REQUIREMENT,Looking for Matcha Supplier,"Hello, My name is Robert Pasker, and I am the CEO of Go Matcha Go, on Ohio Green tea distribution company. I am interested in trying your matcha . We are looking to import at least 20kgs of tea within the next few weeks. I am testing Matcha for taste, color, and consistency. We are looking to build relationships with matcha suppliers. We need matcha that is Bright green, soluble and not overly",United States,US,Robert Pasker,"23 Apr, 2014",2014-04-23,premium_membership_or_login,https://importer.ec21.com/buy-lead/Looking_for_strong_Matcha_strong--23557662.html,https://importer.ec21.com/matcha.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:40+00:00,d9af4621dcd01c6a59eb13af09e30f90fb6525af7a5fd36dc3c3b6f5cefa2a1c,LIVE
ec21,MATCHA,matcha,DIRECT_BUY_REQUIREMENT,Buy Buy: Matcha Green Tea Powder Organic USDA,I'm a US company seeking Organic Matcha Green Tea Powder for private label from a United States supplier. Please contact me if you meet these requirements.,United States,US,,"17 May, 2014",2014-05-17,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Buy_strong_Matcha_strong--23576234.html,https://importer.ec21.com/matcha.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:40+00:00,d9af4621dcd01c6a59eb13af09e30f90fb6525af7a5fd36dc3c3b6f5cefa2a1c,LIVE
ec21,MATCHA,matcha,DIRECT_BUY_REQUIREMENT,Buy Matcha Collagen,"Hello I'm Ingrid, I work for a company that sells Matcha Powder in the US. We are currently looking for a new supplier for both our ceremonial and culinary matcha . If this is something you can help us with please let me know. You may send me an e-mail through ingrid110011 at gmail dot com or you can also add me in skype. My skype username is ingridingridandingrid. Thank you for your time, Ingri",Philippines,,,"12 May, 2017",2017-05-12,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_strong_Matcha_strong_Collagen--24101527.html,https://importer.ec21.com/matcha.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:40+00:00,d9af4621dcd01c6a59eb13af09e30f90fb6525af7a5fd36dc3c3b6f5cefa2a1c,LIVE
ec21,MATCHA,matcha,DIRECT_BUY_REQUIREMENT,We Buy Japanese Matcha Green Tea,My self Ashish Singh and residing in India country and looking for quotation of organic Japanese matcha green tea to import in india in bulk quantity to sale in india.,India,,,"15 Jun, 2018",2018-06-15,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_Japanese_strong_Matcha--24187784.html,https://importer.ec21.com/matcha.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:40+00:00,d9af4621dcd01c6a59eb13af09e30f90fb6525af7a5fd36dc3c3b6f5cefa2a1c,LIVE
ec21,MATCHA,matcha,DIRECT_BUY_REQUIREMENT,Looking for Green Tea,"we are looking for Green Tea Extract, Matcha and Green Tea Liquid. we prefer CNF port price. Please advise MOQ.",Philippines,,,"26 Jun, 2014",2014-06-26,premium_membership_or_login,https://importer.ec21.com/buy-lead/Looking_for_Green_Tea--23607414.html,https://importer.ec21.com/matcha.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:40+00:00,d9af4621dcd01c6a59eb13af09e30f90fb6525af7a5fd36dc3c3b6f5cefa2a1c,LIVE
ec21,MATCHA,matcha,REJECTED_SELLER_OR_UNCLEAR,Buy Fruit Flavor Powder,Matcha Powder Green Tea Extract Powder goji berry powder guyabano (Anona muricata) powder butterfly pea flower powder Kefir Lime Powder Milk Thistle (Liver detoxifying agent) Quercetin Inositol L Theanine niacin (B3) folic acid (B9) riboflavin (B2) cyanocobalamin (B12) pyridoxine hydrochloride (B6) pantothenic acid (B5) Calcium Pantothenate (any weightloss powders that are closest to natural,Australia,,,"7 Dec, 2016",2016-12-07,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Fruit_Flavor_Powder--24052802.html,https://importer.ec21.com/matcha.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:40+00:00,d9af4621dcd01c6a59eb13af09e30f90fb6525af7a5fd36dc3c3b6f5cefa2a1c,LIVE
ec21,MATCHA,matcha,DIRECT_BUY_REQUIREMENT,Buy Caffe Latte,"Looking for Maeil caffe latte drinks, primarily Caramel Macchiato and Matcha Latte. Please let me know what your price is and the number of items per pack!",United States,US,,"15 Jul, 2015",2015-07-15,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Caffe_Latte--23834365.html,https://importer.ec21.com/matcha.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:40+00:00,d9af4621dcd01c6a59eb13af09e30f90fb6525af7a5fd36dc3c3b6f5cefa2a1c,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,We Buy Blueberry Seedling,we are elogueil for import and export from Egypt blueberry seedling 5000 pice first order for long tearm withpot or without pot all type price exw,Egypt,,,"16 Feb, 2026",2026-02-16,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_strong_Blueberry_strong--24456766.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy Sweet and Sour Dried Blueberries Organic Dried Blueberries,"We are from Brazil looking for diferentes kinds berry whole fruits, as Blueberry , Chokeberry, Maquiberry.",Brazil,,,"25 Jul, 2014",2014-07-25,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Sweet_and_Sour_Dried--23632514.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,REJECTED_SELLER_OR_UNCLEAR,"Buy Goodis, My Body N Collagen Blueberry",Dear Sir/Madam We would appreciate if you could kindly submit us a quotation based on minimum and maximum supply of the above item urgently. We have ready market for the above product. Terms : F O B Thank you Shakila Sidik 60172763423 Malaysia,Malaysia,,,"15 Feb, 2014",2014-02-15,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Goodis_My_Body_N--23499126.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy Dried BLueberry,"Hi, I am looking for dried blueberry that doesn't need to be transported in refrigerated container. If you have this prodct, please, send email to ammfergie----hotmail.com thank you!",United States,US,,"4 Mar, 2014",2014-03-04,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Dried_strong_BLueberry_strong--23512834.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,"Buy Baby Multigrain Cereal with Goat Milk Formula, Blueberry",we are looking for Baby multigrain cereal with goat milk formula and organic flavered with blueberry and other fruit.,China,,,"15 Dec, 2014",2014-12-15,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Baby_Multigrain_Cereal_with--23728753.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy IQF Blueberry,"Dear Sir, Have a nice day! This is Liaoning Runduo Biotechnology Co., Ltd., we are interested in importing IQF blueberry ! We need a big quantity and good quality products for China market, please contact me if you can offer! Looking forward to your reply! Best regards! Lilly Liaoning Runduo Biotechnology Co., Ltd.",China,,,"24 Jul, 2015",2015-07-24,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_IQF_strong_Blueberry_strong--23839974.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
