状态,查询词,标题,采购机构,公告编号,发布日期,响应截止时间,公告类型,小企业预留,NAICS,分类代码,有效状态,国家,邮编,SAM机会链接,说明API链接,附件链接,相关性结论,产品匹配状态,排除原因,抓取时间,快照SHA256
保留-待核采购明细,food,FCI Gilmer FY27 1st Qtr Food,"JUSTICE, DEPARTMENT OF.FEDERAL PRISON SYSTEM / BUREAU OF PRISONS.FCI GILMER",15B11927Q00000001,2026-08-27,2026-09-08T16:00:00-04:00,Combined Synopsis/Solicitation,Small Business Set Aside - Total,31199,8945,Yes,,,https://sam.gov/workspace/contract/opp/4fa452aa40ac473ab7a705ee4f43a669/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4fa452aa40ac473ab7a705ee4f43a669,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3c347da423e142519d3d8704ad0f7f38/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fd903ffb622f4a97bc132d174e35b382/download,ACCEPTED_COMMODITY_OR_DELIVERY,NEEDS_LINE_ITEM_REVIEW,,2026-08-27T20:27:26+00:00,36cbf2fc269a63880a1d9d5e45c41e49c4636b334d8d4ce137f12916fc9236d7
保留-待核采购明细,food,Q1 FY27 Food Products - FCI Cumberland,"JUSTICE, DEPARTMENT OF.FEDERAL PRISON SYSTEM / BUREAU OF PRISONS.FCI CUMBERLAND",15B10727Q1FOOD,2026-08-27,2026-09-03T12:00:00-04:00,Solicitation,Small Business Set Aside - Total,311999,8945,Yes,,,https://sam.gov/workspace/contract/opp/2b072febde5c48b28be660bb0737e60b/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=2b072febde5c48b28be660bb0737e60b,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1c99478c29f94b8087cdea9e1f10dc9e/download,ACCEPTED_COMMODITY_OR_DELIVERY,NEEDS_LINE_ITEM_REVIEW,,2026-08-27T20:27:26+00:00,36cbf2fc269a63880a1d9d5e45c41e49c4636b334d8d4ce137f12916fc9236d7
保留-待核采购明细,food,SHELL EGGS for use in Domestic Food Assistance Programs,"AGRICULTURE, DEPARTMENT OF.AGRICULTURAL MARKETING SERVICE.USDA  AMS  3J14",12-3J14-26-B-0407,2026-08-26,2026-09-11T13:00:00-05:00,Combined Synopsis/Solicitation,Small Business Set Aside - Partial,311999,8905,Yes,,,https://sam.gov/workspace/contract/opp/bd21b8e7d71c4874b51d19d398f69cff/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=bd21b8e7d71c4874b51d19d398f69cff,,ACCEPTED_COMMODITY_OR_DELIVERY,NEEDS_LINE_ITEM_REVIEW,,2026-08-27T20:27:26+00:00,36cbf2fc269a63880a1d9d5e45c41e49c4636b334d8d4ce137f12916fc9236d7
保留-待核采购明细,food,FCI Atlanta FY2027 1ST QTR Quarterly Subsistence Food Products,"JUSTICE, DEPARTMENT OF.FEDERAL PRISON SYSTEM / BUREAU OF PRISONS.FCI ATLANTA",15B30126Q00000027,2026-08-26,2026-09-05T16:00:00-04:00,Combined Synopsis/Solicitation,Small Business Set Aside - Total,311991,8945,Yes,,,https://sam.gov/workspace/contract/opp/5fbd3158e5ea4bbf850d366e341af687/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=5fbd3158e5ea4bbf850d366e341af687,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0af20ed1f61e4755aa9a4cf11603e9a3/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/89e9d8c9f65e426a95ac3126a36de477/download,ACCEPTED_COMMODITY_OR_DELIVERY,NEEDS_LINE_ITEM_REVIEW,,2026-08-27T20:27:26+00:00,36cbf2fc269a63880a1d9d5e45c41e49c4636b334d8d4ce137f12916fc9236d7
保留-待核采购明细,food,FCC Yazoo City FY 2027 Q1 Food Service Subsistence Requirements,"JUSTICE, DEPARTMENT OF.FEDERAL PRISON SYSTEM / BUREAU OF PRISONS.FCC YAZOO CITY",08242026,2026-08-26,2026-09-11T11:00:00-04:00,Combined Synopsis/Solicitation,Small Business Set Aside - Total,311999,8945,Yes,,,https://sam.gov/workspace/contract/opp/52b4f6e3410945eababa6aa72814ccf0/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=52b4f6e3410945eababa6aa72814ccf0,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c9fc1224daaf40aa863fa91a6684b4b8/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fd9fae26b1cf4261a8ba48708c146b5a/download,ACCEPTED_COMMODITY_OR_DELIVERY,NEEDS_LINE_ITEM_REVIEW,,2026-08-27T20:27:26+00:00,36cbf2fc269a63880a1d9d5e45c41e49c4636b334d8d4ce137f12916fc9236d7
保留-待核采购明细,food,Ham & Pork Products for use in Domestic Food Assistance Programs,"AGRICULTURE, DEPARTMENT OF.AGRICULTURAL MARKETING SERVICE.USDA  AMS  3J14",12-3J14-26-B-0408,2026-08-26,2026-09-09T14:00:00-05:00,Combined Synopsis/Solicitation,,311612,8905,Yes,,,https://sam.gov/workspace/contract/opp/4666c3311e7b4d36a5d22fed1766b6d0/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4666c3311e7b4d36a5d22fed1766b6d0,,ACCEPTED_COMMODITY_OR_DELIVERY,NEEDS_LINE_ITEM_REVIEW,,2026-08-27T20:27:26+00:00,36cbf2fc269a63880a1d9d5e45c41e49c4636b334d8d4ce137f12916fc9236d7
保留-待核采购明细,food,BULK TURKEY for use in Domestic Food Assistance Programs,"AGRICULTURE, DEPARTMENT OF.AGRICULTURAL MARKETING SERVICE.USDA  AMS  3J14",12-3J14-26-B-0406,2026-08-26,2026-09-09T13:00:00-05:00,Combined Synopsis/Solicitation,Small Business Set Aside - Partial,311615,8905,Yes,,,https://sam.gov/workspace/contract/opp/226933cc838a428bbbbdcfd20fc14ae8/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=226933cc838a428bbbbdcfd20fc14ae8,,ACCEPTED_COMMODITY_OR_DELIVERY,NEEDS_LINE_ITEM_REVIEW,,2026-08-27T20:27:26+00:00,36cbf2fc269a63880a1d9d5e45c41e49c4636b334d8d4ce137f12916fc9236d7
保留-待核采购明细,food,"Various Oil, Dry Bean, Fortified Milled Rice, Peas, Lentils and Corn-Soy Blend Plus Products for use in International Food Assistance Programs","AGRICULTURE, DEPARTMENT OF.AGRICULTURAL MARKETING SERVICE.USDA  AMS  3J14",12-1NMP-26-B-0020,2026-08-26,2026-09-01T09:00:00-05:00,Combined Synopsis/Solicitation,,311212,8945,Yes,,,https://sam.gov/workspace/contract/opp/10a9491b2ed74d9680be9219a22728f4/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=10a9491b2ed74d9680be9219a22728f4,,ACCEPTED_COMMODITY_OR_DELIVERY,NEEDS_LINE_ITEM_REVIEW,,2026-08-27T20:27:26+00:00,36cbf2fc269a63880a1d9d5e45c41e49c4636b334d8d4ce137f12916fc9236d7
保留-待核采购明细,food,Commercial food delivery service for MSG,"STATE, DEPARTMENT OF.STATE, DEPARTMENT OF.US EMBASSY TALLINN",19EN1026Q0383,2026-08-21,2026-09-18T17:00:00+03:00,Combined Synopsis/Solicitation,No Set aside used,722320,S203,Yes,,,https://sam.gov/workspace/contract/opp/6293c08329774989b5ef5b923194be03/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=6293c08329774989b5ef5b923194be03,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ed43da0041ee4724b13bfcc7430f217d/download,ACCEPTED_COMMODITY_OR_DELIVERY,NEEDS_LINE_ITEM_REVIEW,,2026-08-27T20:27:26+00:00,36cbf2fc269a63880a1d9d5e45c41e49c4636b334d8d4ce137f12916fc9236d7
保留-待核采购明细,food,MISC FOOD ITEMS FOR MAINLAND JAPAN,DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.TROOP SUPPORT SUBSISTENCE.DLA TROOP SUPPORT INDO-PACIFIC,SPE302-26-Q-S009,2026-08-20,2026-09-03T12:00:00+09:00,Combined Synopsis/Solicitation,,311999,8940,Yes,,,https://sam.gov/workspace/contract/opp/f58376cd7d68470d83b6f50d52124a39/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f58376cd7d68470d83b6f50d52124a39,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4fc5c68e5ca849debbe5efb78721a873/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a08cc01071664d42a31db0d416bb57b6/download,ACCEPTED_COMMODITY_OR_DELIVERY,NEEDS_LINE_ITEM_REVIEW,,2026-08-27T20:27:26+00:00,36cbf2fc269a63880a1d9d5e45c41e49c4636b334d8d4ce137f12916fc9236d7
