field_code,go4worldbusiness_us,independent_buyer_sites,tradewheel_matcha_blueberry_us,usaspending
access_channel_url,0/38,1/1,0/9,0/10
amount_raw,0/38,0/1,0/9,10/10
buyer_country_raw,38/38,0/1,9/9,0/10
buyer_name_raw,38/38,1/1,9/9,10/10
buying_frequency_raw,0/38,0/1,4/9,0/10
contact_gate,38/38,1/1,9/9,0/10
description_raw,38/38,1/1,9/9,10/10
destination_raw,1/38,1/1,0/9,0/10
detail_url,38/38,0/1,9/9,0/10
packaging_raw,1/38,0/1,0/9,0/10
payment_terms_raw,1/38,0/1,0/9,0/10
product_terms,38/38,0/1,9/9,10/10
published_at_raw,38/38,0/1,6/9,10/10
quantity_raw,1/38,0/1,4/9,0/10
record_kind,38/38,1/1,9/9,10/10
shipping_terms_raw,1/38,0/1,0/9,0/10
signal_role,0/38,1/1,0/9,10/10
source_url,38/38,1/1,9/9,10/10
supplier_name_raw,0/38,0/1,0/9,10/10
title,38/38,1/1,9/9,10/10
verification_status,38/38,1/1,9/9,10/10
