field_code,BUYER_DIRECTORY_ENTRY,BUYER_PROCUREMENT_CHANNEL,DIRECT_BUY_REQUIREMENT,HISTORICAL_PURCHASE
access.channel_url,38/38,1/1,7/7,10/10
access.contact_gate,38/38,1/1,7/7,0/10
buyer.country_code,38/38,0/1,7/7,0/10
buyer.country_raw,38/38,0/1,7/7,0/10
buyer.name_raw,38/38,1/1,7/7,10/10
buyer.supplier_name_raw,0/38,0/1,0/7,10/10
evidence.observed_at,0/38,0/1,7/7,0/10
evidence.snapshot_path,0/38,0/1,7/7,0/10
evidence.snapshot_sha256,0/38,0/1,7/7,0/10
evidence.verification_status,38/38,1/1,7/7,10/10
requirement.amount_raw,0/38,0/1,0/7,10/10
requirement.certification_or_grade_terms,0/38,0/1,5/7,0/10
requirement.description_raw,38/38,1/1,7/7,10/10
requirement.frequency_raw,0/38,0/1,0/7,0/10
requirement.is_direct_demand,38/38,1/1,7/7,10/10
requirement.packaging_raw,1/38,0/1,0/7,0/10
requirement.product_terms,38/38,0/1,7/7,10/10
requirement.published_at,38/38,0/1,5/7,10/10
requirement.quantity_raw,1/38,0/1,0/7,0/10
requirement.title,38/38,1/1,7/7,10/10
source.code,38/38,1/1,7/7,10/10
source.data_mode,38/38,1/1,7/7,10/10
source.record_kind,38/38,1/1,7/7,10/10
source.url,38/38,1/1,7/7,10/10
