field_code,BUYER_DIRECTORY_ENTRY,BUYER_PROCUREMENT_CHANNEL,DIRECT_BUY_REQUIREMENT,HISTORICAL_PURCHASE
access.channel_url,38/38,1/1,6/6,10/10
access.contact_gate,38/38,1/1,6/6,0/10
buyer.country_code,38/38,0/1,6/6,0/10
buyer.country_raw,38/38,0/1,6/6,0/10
buyer.name_raw,38/38,1/1,6/6,10/10
buyer.supplier_name_raw,0/38,0/1,0/6,10/10
commercial.amount_raw,0/38,0/1,0/6,10/10
commercial.incoterms,1/38,0/1,1/6,0/10
commercial.moq_requested,0/38,0/1,6/6,0/10
commercial.price_or_quote_requested,0/38,0/1,6/6,0/10
commercial.sample_requested,0/38,0/1,6/6,0/10
demand.action,0/38,0/1,6/6,0/10
demand.description_raw,38/38,1/1,6/6,10/10
demand.frequency_raw,0/38,0/1,0/6,0/10
demand.is_direct,38/38,1/1,6/6,10/10
demand.long_term_intent,0/38,0/1,6/6,0/10
demand.published_at,38/38,0/1,6/6,10/10
demand.quantity_raw,1/38,0/1,0/6,0/10
demand.recurring_quantity_raw,0/38,0/1,1/6,0/10
demand.title,38/38,1/1,6/6,10/10
demand.trial_order_raw,0/38,0/1,1/6,0/10
demand.urgency,0/38,0/1,2/6,0/10
evidence.observed_at,0/38,0/1,6/6,0/10
evidence.snapshot_path,0/38,0/1,6/6,0/10
evidence.snapshot_sha256,0/38,0/1,6/6,0/10
evidence.verification_status,38/38,1/1,6/6,10/10
logistics.destination_raw,0/38,0/1,1/6,0/10
logistics.lead_time_requested,0/38,0/1,6/6,0/10
product.certification_or_grade_terms,0/38,0/1,4/6,0/10
product.form,17/38,0/1,6/6,10/10
product.intended_use,2/38,0/1,1/6,0/10
product.packaging_raw,1/38,0/1,0/6,0/10
product.temperature_constraint,0/38,0/1,1/6,0/10
product.terms,38/38,0/1,6/6,10/10
quality.direct_demand_requires_corroboration,38/38,1/1,6/6,10/10
quality.is_background_only,38/38,1/1,6/6,10/10
source.code,38/38,1/1,6/6,10/10
source.data_mode,38/38,1/1,6/6,10/10
source.record_kind,38/38,1/1,6/6,10/10
source.url,38/38,1/1,6/6,10/10
